time,events
0,idle
8,idle
16,idle
25,idle
33,idle
41,idle
50,idle
58,idle
66,idle
75,idle
83,idle
91,idle
100,idle
108,idle
116,idle
125,idle
133,idle
141,idle
150,idle
158,idle
166,idle
175,idle
183,idle
191,idle
200,idle
208,idle
216,idle
225,idle
233,idle
241,idle
250,idle
258,idle
266,idle
275,idle
283,idle
291,idle
300,idle
308,idle
316,idle
325,idle
333,idle
341,idle
350,idle
358,idle
366,idle
375,idle
383,idle
391,idle
400,idle
408,idle
416,idle
425,idle
433,idle
441,idle
450,idle
458,idle
466,idle
475,idle
483,idle
491,idle
500,idle
508,idle
516,idle
525,idle
533,idle
541,idle
550,idle
558,idle
566,idle
575,idle
583,idle
591,idle
600,idle
608,idle
616,idle
625,idle
633,idle
641,idle
650,idle
658,idle
666,idle
675,idle
683,idle
691,idle
700,idle
708,idle
716,idle
725,idle
733,idle
741,idle
750,idle
758,idle
766,idle
775,idle
783,idle
791,idle
800,idle
808,idle
816,idle
825,idle
833,idle
841,idle
850,idle
858,idle
866,idle
875,idle
883,idle
891,idle
900,idle
908,idle
916,idle
925,idle
933,idle
941,idle
950,idle
958,idle
966,idle
975,idle
983,idle
991,idle
1000,idle
1008,idle
1016,idle
1025,idle
1033,idle
1041,idle
1050,idle
1058,idle
1066,idle
1075,idle
1083,idle
1091,idle
1100,idle
1108,idle
1116,idle
1125,idle
1133,idle
1141,idle
1150,idle
1158,idle
1166,idle
1175,idle
1183,idle
1191,idle
1200,idle
1208,idle
1216,idle
1225,idle
1233,idle
1241,idle
1250,idle
1258,idle
1266,idle
1275,idle
1283,idle
1291,idle
1300,idle
1308,idle
1316,idle
1325,idle
1333,idle
1341,idle
1350,idle
1358,idle
1366,idle
1375,idle
1383,idle
1391,idle
1400,idle
1408,idle
1416,idle
1425,idle
1433,idle
1441,idle
1450,idle
1458,idle
1466,idle
1475,idle
1483,idle
1491,idle
1500,idle
1508,idle
1516,idle
1525,idle
1533,swipe_left
1541,idle
1550,idle
1558,idle
1566,idle
1575,idle
1583,idle
1591,idle
1600,idle
1608,idle
1616,idle
1625,idle
1633,idle
1641,idle
1650,idle
1658,idle
1666,idle
1675,idle
1683,idle
1691,idle
1700,idle
1708,idle
1716,idle
1725,idle
1733,idle
1741,idle
1750,idle
1758,idle
1766,idle
1775,idle
1783,idle
1791,idle
1800,idle
1808,idle
1816,idle
1825,idle
1833,idle
1841,idle
1850,idle
1858,idle
1866,idle
1875,idle
1883,idle
1891,idle
1900,idle
1908,idle
1916,idle
1925,idle
1933,idle
1941,idle
1950,idle
1958,idle
1966,idle
1975,idle
1983,idle
1991,idle
2000,idle
2008,idle
2016,idle
2025,idle
2033,idle
2041,idle
2050,idle
2058,idle
2066,idle
2075,idle
2083,idle
2091,idle
2100,idle
2108,idle
2116,idle
2125,idle
2133,idle
2141,idle
2150,idle
2158,idle
2166,idle
2175,idle
2183,idle
2191,idle
2200,idle
2208,idle
2216,idle
2225,idle
2233,idle
2241,idle
2250,idle
2258,idle
2266,idle
2275,idle
2283,idle
2291,idle
2300,idle
2308,idle
2316,idle
2325,idle
2333,idle
2341,idle
2350,idle
2358,idle
2366,idle
2375,idle
2383,idle
2391,idle
2400,idle
2408,idle
2416,idle
2425,idle
2433,idle
2441,idle
2450,idle
2458,idle
2466,idle
2475,idle
2483,idle
2491,idle
2500,idle
2508,idle
2516,idle
2525,idle
2533,idle
2541,idle
2550,idle
2558,idle
2566,idle
2575,idle
2583,idle
2591,idle
2600,idle
2608,idle
2616,idle
2625,idle
2633,idle
2641,idle
2650,idle
2658,idle
